   x    v    u    error 
     0.00000      0.00000      0.00000      0.00000 
     0.00010      0.00090      0.00090     -7.07530 
     0.00020      0.00180      0.00180     -7.07529 
     0.00030      0.00270      0.00270     -7.07529 
     0.00040      0.00359      0.00359     -7.07529 
     0.00050      0.00449      0.00449     -7.07529 
     0.00060      0.00538      0.00538     -7.07528 
     0.00070      0.00627      0.00627     -7.07528 
     0.00080      0.00717      0.00717     -7.07528 
     0.00090      0.00806      0.00806     -7.07528 
     0.00100      0.00895      0.00895     -7.07528 
     0.00110      0.00984      0.00984     -7.07527 
     0.00120      0.01073      0.01073     -7.07527 
     0.00130      0.01161      0.01161     -7.07527 
     0.00140      0.01250      0.01250     -7.07527 
     0.00150      0.01339      0.01339     -7.07526 
     0.00160      0.01427      0.01427     -7.07526 
     0.00170      0.01515      0.01515     -7.07526 
     0.00180      0.01604      0.01604     -7.07526 
     0.00190      0.01692      0.01692     -7.07526 
     0.00200      0.01780      0.01780     -7.07525 
     0.00210      0.01868      0.01868     -7.07525 
     0.00220      0.01956      0.01956     -7.07525 
     0.00230      0.02044      0.02044     -7.07525 
     0.00240      0.02131      0.02131     -7.07524 
     0.00250      0.02219      0.02219     -7.07524 
     0.00260      0.02306      0.02306     -7.07524 
     0.00270      0.02394      0.02394     -7.07524 
     0.00280      0.02481      0.02481     -7.07524 
     0.00290      0.02568      0.02568     -7.07523 
     0.00300      0.02655      0.02655     -7.07523 
     0.00310      0.02742      0.02742     -7.07523 
     0.00320      0.02829      0.02829     -7.07523 
     0.00330      0.02916      0.02916     -7.07522 
     0.00340      0.03003      0.03003     -7.07522 
     0.00350      0.03089      0.03089     -7.07522 
     0.00360      0.03176      0.03176     -7.07522 
     0.00370      0.03262      0.03262     -7.07522 
     0.00380      0.03348      0.03348     -7.07521 
     0.00390      0.03435      0.03435     -7.07521 
     0.00400      0.03521      0.03521     -7.07521 
     0.00410      0.03607      0.03607     -7.07521 
     0.00420      0.03693      0.03693     -7.07520 
     0.00430      0.03779      0.03779     -7.07520 
     0.00440      0.03864      0.03864     -7.07520 
     0.00450      0.03950      0.03950     -7.07520 
     0.00460      0.04035      0.04035     -7.07520 
     0.00470      0.04121      0.04121     -7.07519 
     0.00480      0.04206      0.04206     -7.07519 
     0.00490      0.04291      0.04291     -7.07519 
     0.00500      0.04377      0.04377     -7.07519 
     0.00510      0.04462      0.04462     -7.07518 
     0.00520      0.04547      0.04547     -7.07518 
     0.00530      0.04632      0.04632     -7.07518 
     0.00540      0.04716      0.04716     -7.07518 
     0.00550      0.04801      0.04801     -7.07518 
     0.00560      0.04886      0.04886     -7.07517 
     0.00570      0.04970      0.04970     -7.07517 
     0.00580      0.05055      0.05055     -7.07517 
     0.00590      0.05139      0.05139     -7.07517 
     0.00600      0.05223      0.05223     -7.07516 
     0.00610      0.05307      0.05307     -7.07516 
     0.00620      0.05391      0.05391     -7.07516 
     0.00630      0.05475      0.05475     -7.07516 
     0.00640      0.05559      0.05559     -7.07516 
     0.00650      0.05643      0.05643     -7.07515 
     0.00660      0.05726      0.05726     -7.07515 
     0.00670      0.05810      0.05810     -7.07515 
     0.00680      0.05893      0.05893     -7.07515 
     0.00690      0.05977      0.05977     -7.07514 
     0.00700      0.06060      0.06060     -7.07514 
     0.00710      0.06143      0.06143     -7.07514 
     0.00720      0.06226      0.06226     -7.07514 
     0.00730      0.06309      0.06309     -7.07514 
     0.00740      0.06392      0.06392     -7.07513 
     0.00750      0.06475      0.06475     -7.07513 
     0.00760      0.06558      0.06558     -7.07513 
     0.00770      0.06640      0.06640     -7.07513 
     0.00780      0.06723      0.06723     -7.07512 
     0.00790      0.06805      0.06805     -7.07512 
     0.00800      0.06888      0.06888     -7.07512 
     0.00810      0.06970      0.06970     -7.07512 
     0.00820      0.07052      0.07052     -7.07511 
     0.00830      0.07134      0.07134     -7.07511 
     0.00840      0.07216      0.07216     -7.07511 
     0.00850      0.07298      0.07298     -7.07511 
     0.00860      0.07380      0.07380     -7.07511 
     0.00870      0.07462      0.07462     -7.07510 
     0.00880      0.07543      0.07543     -7.07510 
     0.00890      0.07625      0.07625     -7.07510 
     0.00900      0.07706      0.07706     -7.07510 
     0.00910      0.07788      0.07788     -7.07509 
     0.00920      0.07869      0.07869     -7.07509 
     0.00930      0.07950      0.07950     -7.07509 
     0.00940      0.08031      0.08031     -7.07509 
     0.00950      0.08112      0.08112     -7.07508 
     0.00960      0.08193      0.08193     -7.07508 
     0.00970      0.08274      0.08274     -7.07508 
     0.00980      0.08354      0.08354     -7.07508 
     0.00990      0.08435      0.08435     -7.07508 
     0.01000      0.08515      0.08515     -7.07507 
     0.01010      0.08596      0.08596     -7.07507 
     0.01020      0.08676      0.08676     -7.07507 
     0.01030      0.08757      0.08757     -7.07507 
     0.01040      0.08837      0.08837     -7.07506 
     0.01050      0.08917      0.08917     -7.07506 
     0.01060      0.08997      0.08997     -7.07506 
     0.01070      0.09077      0.09077     -7.07506 
     0.01080      0.09156      0.09156     -7.07506 
     0.01090      0.09236      0.09236     -7.07505 
     0.01100      0.09316      0.09316     -7.07505 
     0.01110      0.09395      0.09395     -7.07505 
     0.01120      0.09475      0.09475     -7.07505 
     0.01130      0.09554      0.09554     -7.07504 
     0.01140      0.09633      0.09633     -7.07504 
     0.01150      0.09713      0.09713     -7.07504 
     0.01160      0.09792      0.09792     -7.07504 
     0.01170      0.09871      0.09871     -7.07503 
     0.01180      0.09950      0.09950     -7.07503 
     0.01190      0.10028      0.10028     -7.07503 
     0.01200      0.10107      0.10107     -7.07503 
     0.01210      0.10186      0.10186     -7.07503 
     0.01220      0.10264      0.10264     -7.07502 
     0.01230      0.10343      0.10343     -7.07502 
     0.01240      0.10421      0.10421     -7.07502 
     0.01250      0.10499      0.10499     -7.07502 
     0.01260      0.10578      0.10578     -7.07501 
     0.01270      0.10656      0.10656     -7.07501 
     0.01280      0.10734      0.10734     -7.07501 
     0.01290      0.10812      0.10812     -7.07501 
     0.01300      0.10890      0.10890     -7.07500 
     0.01310      0.10967      0.10967     -7.07500 
     0.01320      0.11045      0.11045     -7.07500 
     0.01330      0.11123      0.11123     -7.07500 
     0.01340      0.11200      0.11200     -7.07500 
     0.01350      0.11277      0.11277     -7.07499 
     0.01360      0.11355      0.11355     -7.07499 
     0.01370      0.11432      0.11432     -7.07499 
     0.01380      0.11509      0.11509     -7.07499 
     0.01390      0.11586      0.11586     -7.07498 
     0.01400      0.11663      0.11663     -7.07498 
     0.01410      0.11740      0.11740     -7.07498 
     0.01420      0.11817      0.11817     -7.07498 
     0.01430      0.11894      0.11894     -7.07497 
     0.01440      0.11970      0.11970     -7.07497 
     0.01450      0.12047      0.12047     -7.07497 
     0.01460      0.12123      0.12123     -7.07497 
     0.01470      0.12200      0.12200     -7.07496 
     0.01480      0.12276      0.12276     -7.07496 
     0.01490      0.12352      0.12352     -7.07496 
     0.01500      0.12428      0.12428     -7.07496 
     0.01510      0.12504      0.12504     -7.07496 
     0.01520      0.12580      0.12580     -7.07495 
     0.01530      0.12656      0.12656     -7.07495 
     0.01540      0.12732      0.12732     -7.07495 
     0.01550      0.12807      0.12807     -7.07495 
     0.01560      0.12883      0.12883     -7.07494 
     0.01570      0.12958      0.12958     -7.07494 
     0.01580      0.13034      0.13034     -7.07494 
     0.01590      0.13109      0.13109     -7.07494 
     0.01600      0.13184      0.13184     -7.07493 
     0.01610      0.13260      0.13260     -7.07493 
     0.01620      0.13335      0.13335     -7.07493 
     0.01630      0.13410      0.13410     -7.07493 
     0.01640      0.13485      0.13485     -7.07492 
     0.01650      0.13559      0.13559     -7.07492 
     0.01660      0.13634      0.13634     -7.07492 
     0.01670      0.13709      0.13709     -7.07492 
     0.01680      0.13783      0.13783     -7.07492 
     0.01690      0.13858      0.13858     -7.07491 
     0.01700      0.13932      0.13932     -7.07491 
     0.01710      0.14007      0.14007     -7.07491 
     0.01720      0.14081      0.14081     -7.07491 
     0.01730      0.14155      0.14155     -7.07490 
     0.01740      0.14229      0.14229     -7.07490 
     0.01750      0.14303      0.14303     -7.07490 
