   x    v_numerical    u    error 
     0.00000      1.00000      0.00000      0.00000 
     0.00990      0.00000      0.08437      0.00000 
     0.01980      0.00000      0.15985      0.00000 
     0.02970      0.00000      0.22728      0.00000 
     0.03960      0.00000      0.28742      0.00000 
     0.04950      0.00000      0.34096      0.00000 
     0.05941      0.00000      0.38852      0.00000 
     0.06931      0.00000      0.43066      0.00000 
     0.07921      0.00000      0.46789      0.00000 
     0.08911      0.00000      0.50069      0.00000 
     0.09901      0.00000      0.52945      0.00000 
     0.10891      0.00000      0.55458      0.00000 
     0.11881      0.00000      0.57640      0.00000 
     0.12871      0.00000      0.59523      0.00000 
     0.13861      0.00000      0.61135      0.00000 
     0.14851      0.00000      0.62502      0.00000 
     0.15842      0.00000      0.63647      0.00000 
     0.16832      0.00000      0.64591      0.00000 
     0.17822      0.00000      0.65352      0.00000 
     0.18812      0.00000      0.65948      0.00000 
     0.19802      0.00000      0.66395      0.00000 
     0.20792      0.00000      0.66706      0.00000 
     0.21782      0.00000      0.66894      0.00000 
     0.22772      0.00000      0.66972      0.00000 
     0.23762      0.00000      0.66949      0.00000 
     0.24752      0.00000      0.66834      0.00000 
     0.25743      0.00000      0.66638      0.00000 
     0.26733      0.00000      0.66366      0.00000 
     0.27723      0.00000      0.66027      0.00000 
     0.28713      0.00000      0.65626      0.00000 
     0.29703      0.00000      0.65170      0.00000 
     0.30693      0.00000      0.64663      0.00000 
     0.31683      0.00000      0.64111      0.00000 
     0.32673      0.00000      0.63517      0.00000 
     0.33663      0.00000      0.62887      0.00000 
     0.34653      0.00000      0.62222      0.00000 
     0.35644      0.00000      0.61527      0.00000 
     0.36634      0.00000      0.60803      0.00000 
     0.37624      0.00000      0.60055      0.00000 
     0.38614      0.00000      0.59284      0.00000 
     0.39604      0.00000      0.58492      0.00000 
     0.40594      0.00000      0.57682      0.00000 
     0.41584      0.00000      0.56854      0.00000 
     0.42574      0.00000      0.56012      0.00000 
     0.43564      0.00000      0.55155      0.00000 
     0.44554      0.00000      0.54286      0.00000 
     0.45545      0.00000      0.53405      0.00000 
     0.46535      0.00000      0.52515      0.00000 
     0.47525      0.00000      0.51614      0.00000 
     0.48515      0.00000      0.50706      0.00000 
     0.49505      0.00000      0.49789      0.00000 
     0.50495      0.00000      0.48866      0.00000 
     0.51485      0.00000      0.47936      0.00000 
     0.52475      0.00000      0.47001      0.00000 
     0.53465      0.00000      0.46061      0.00000 
     0.54455      0.00000      0.45115      0.00000 
     0.55446      0.00000      0.44166      0.00000 
     0.56436      0.00000      0.43213      0.00000 
     0.57426      0.00000      0.42256      0.00000 
     0.58416      0.00000      0.41296      0.00000 
     0.59406      0.00000      0.40334      0.00000 
     0.60396      0.00000      0.39368      0.00000 
     0.61386      0.00000      0.38401      0.00000 
     0.62376      0.00000      0.37431      0.00000 
     0.63366      0.00000      0.36460      0.00000 
     0.64356      0.00000      0.35486      0.00000 
     0.65347      0.00000      0.34511      0.00000 
     0.66337      0.00000      0.33535      0.00000 
     0.67327      0.00000      0.32557      0.00000 
     0.68317      0.00000      0.31578      0.00000 
     0.69307      0.00000      0.30598      0.00000 
     0.70297      0.00000      0.29618      0.00000 
     0.71287      0.00000      0.28636      0.00000 
     0.72277      0.00000      0.27653      0.00000 
     0.73267      0.00000      0.26670      0.00000 
     0.74257      0.00000      0.25686      0.00000 
     0.75248      0.00000      0.24702      0.00000 
     0.76238      0.00000      0.23717      0.00000 
     0.77228      0.00000      0.22732      0.00000 
     0.78218      0.00000      0.21746      0.00000 
     0.79208      0.00000      0.20759      0.00000 
     0.80198      0.00000      0.19773      0.00000 
     0.81188      0.00000      0.18786      0.00000 
     0.82178      0.00000      0.17799      0.00000 
     0.83168      0.00000      0.16811      0.00000 
     0.84158      0.00000      0.15823      0.00000 
     0.85149      0.00000      0.14835      0.00000 
     0.86139      0.00000      0.13847      0.00000 
     0.87129      0.00000      0.12859      0.00000 
     0.88119      0.00000      0.11870      0.00000 
     0.89109      0.00000      0.10882      0.00000 
     0.90099      0.00000      0.09893      0.00000 
     0.91089      0.00000      0.08904      0.00000 
     0.92079      0.00000      0.07915      0.00000 
     0.93069      0.00000      0.06926      0.00000 
     0.94059      0.00000      0.05937      0.00000 
     0.95050      0.00000      0.04947      0.00000 
     0.96040      0.00000      0.03958      0.00000 
     0.97030      0.00000      0.02969      0.00000 
     0.98020      0.00000      0.01979      0.00000 
     0.99010      0.00000      0.00990      0.00000 
     1.00000      0.00000      0.00000      0.00000 
