   x    V1    V2
0.000000 1.000000 1.000000 
0.010000 0.953953 0.989436 
0.020000 0.908060 0.978873 
0.030000 0.862472 0.968310 
0.040000 0.817338 0.957749 
0.050000 0.772803 0.947190 
0.060000 0.729004 0.936633 
0.070000 0.686072 0.926079 
0.080000 0.644132 0.915528 
0.090000 0.603296 0.904981 
0.100000 0.563668 0.894438 
0.110000 0.525340 0.883900 
0.120000 0.488392 0.873366 
0.130000 0.452894 0.862838 
0.140000 0.418902 0.852316 
0.150000 0.386461 0.841800 
0.160000 0.355602 0.831291 
0.170000 0.326347 0.820790 
0.180000 0.298704 0.810295 
0.190000 0.272671 0.799809 
0.200000 0.248236 0.789331 
0.210000 0.225376 0.778861 
0.220000 0.204063 0.768401 
0.230000 0.184256 0.757950 
0.240000 0.165911 0.747509 
0.250000 0.148976 0.737078 
0.260000 0.133394 0.726658 
0.270000 0.119106 0.716248 
0.280000 0.106047 0.705850 
0.290000 0.094151 0.695463 
0.300000 0.083350 0.685087 
0.310000 0.073576 0.674724 
0.320000 0.064761 0.664372 
0.330000 0.056837 0.654034 
0.340000 0.049737 0.643707 
0.350000 0.043397 0.633394 
0.360000 0.037755 0.623094 
0.370000 0.032749 0.612808 
0.380000 0.028323 0.602535 
0.390000 0.024423 0.592275 
0.400000 0.020998 0.582030 
0.410000 0.017999 0.571799 
0.420000 0.015383 0.561581 
0.430000 0.013107 0.551378 
0.440000 0.011135 0.541190 
0.450000 0.009431 0.531016 
0.460000 0.007964 0.520856 
0.470000 0.006705 0.510711 
0.480000 0.005628 0.500581 
0.490000 0.004709 0.490465 
0.500000 0.003929 0.480364 
0.510000 0.003268 0.470278 
0.520000 0.002710 0.460206 
0.530000 0.002240 0.450149 
0.540000 0.001846 0.440107 
0.550000 0.001517 0.430079 
0.560000 0.001243 0.420065 
0.570000 0.001015 0.410066 
0.580000 0.000826 0.400082 
0.590000 0.000671 0.390111 
0.600000 0.000543 0.380154 
0.610000 0.000438 0.370212 
0.620000 0.000352 0.360283 
0.630000 0.000282 0.350367 
0.640000 0.000226 0.340465 
0.650000 0.000180 0.330576 
0.660000 0.000143 0.320700 
0.670000 0.000113 0.310837 
0.680000 0.000089 0.300986 
0.690000 0.000070 0.291148 
0.700000 0.000055 0.281321 
0.710000 0.000043 0.271506 
0.720000 0.000034 0.261703 
0.730000 0.000026 0.251911 
0.740000 0.000020 0.242129 
0.750000 0.000016 0.232358 
0.760000 0.000012 0.222597 
0.770000 0.000009 0.212846 
0.780000 0.000007 0.203104 
0.790000 0.000005 0.193371 
0.800000 0.000004 0.183647 
0.810000 0.000003 0.173932 
0.820000 0.000002 0.164224 
0.830000 0.000002 0.154524 
0.840000 0.000001 0.144831 
0.850000 0.000001 0.135145 
0.860000 0.000001 0.125465 
0.870000 0.000001 0.115791 
0.880000 0.000000 0.106122 
0.890000 0.000000 0.096458 
0.900000 0.000000 0.086799 
0.910000 0.000000 0.077145 
0.920000 0.000000 0.067493 
0.930000 0.000000 0.057845 
0.940000 0.000000 0.048200 
0.950000 0.000000 0.038557 
0.960000 0.000000 0.028916 
0.970000 0.000000 0.019277 
0.980000 0.000000 0.009638 
0.990000 0.000000 0.000000 
