   x    V1    V2
0.000000 1.000000 1.000000 
0.010000 0.973408 0.989899 
0.020000 0.946845 0.979797 
0.030000 0.920341 0.969696 
0.040000 0.893925 0.959595 
0.050000 0.867627 0.949494 
0.060000 0.841474 0.939392 
0.070000 0.815495 0.929291 
0.080000 0.789718 0.919190 
0.090000 0.764168 0.909089 
0.100000 0.738873 0.898988 
0.110000 0.713858 0.888886 
0.120000 0.689146 0.878785 
0.130000 0.664762 0.868684 
0.140000 0.640727 0.858583 
0.150000 0.617064 0.848481 
0.160000 0.593792 0.838380 
0.170000 0.570930 0.828279 
0.180000 0.548496 0.818178 
0.190000 0.526506 0.808076 
0.200000 0.504975 0.797975 
0.210000 0.483918 0.787874 
0.220000 0.463347 0.777773 
0.230000 0.443272 0.767672 
0.240000 0.423704 0.757570 
0.250000 0.404651 0.747469 
0.260000 0.386120 0.737368 
0.270000 0.368117 0.727267 
0.280000 0.350646 0.717166 
0.290000 0.333710 0.707065 
0.300000 0.317311 0.696963 
0.310000 0.301450 0.686862 
0.320000 0.286126 0.676761 
0.330000 0.271337 0.666660 
0.340000 0.257081 0.656559 
0.350000 0.243353 0.646458 
0.360000 0.230149 0.636357 
0.370000 0.217463 0.626256 
0.380000 0.205287 0.616154 
0.390000 0.193615 0.606053 
0.400000 0.182438 0.595952 
0.410000 0.171747 0.585851 
0.420000 0.161532 0.575750 
0.430000 0.151782 0.565649 
0.440000 0.142488 0.555548 
0.450000 0.133636 0.545447 
0.460000 0.125217 0.535346 
0.470000 0.117216 0.525245 
0.480000 0.109623 0.515144 
0.490000 0.102424 0.505043 
0.500000 0.095607 0.494942 
0.510000 0.089157 0.484841 
0.520000 0.083063 0.474740 
0.530000 0.077311 0.464639 
0.540000 0.071888 0.454538 
0.550000 0.066780 0.444437 
0.560000 0.061975 0.434336 
0.570000 0.057460 0.424235 
0.580000 0.053222 0.414134 
0.590000 0.049248 0.404033 
0.600000 0.045525 0.393932 
0.610000 0.042043 0.383831 
0.620000 0.038789 0.373730 
0.630000 0.035751 0.363629 
0.640000 0.032918 0.353528 
0.650000 0.030279 0.343428 
0.660000 0.027823 0.333327 
0.670000 0.025541 0.323226 
0.680000 0.023422 0.313125 
0.690000 0.021456 0.303024 
0.700000 0.019635 0.292923 
0.710000 0.017950 0.282822 
0.720000 0.016391 0.272721 
0.730000 0.014952 0.262621 
0.740000 0.013623 0.252520 
0.750000 0.012399 0.242419 
0.760000 0.011270 0.232318 
0.770000 0.010232 0.222217 
0.780000 0.009277 0.212116 
0.790000 0.008399 0.202016 
0.800000 0.007593 0.191915 
0.810000 0.006853 0.181814 
0.820000 0.006174 0.171713 
0.830000 0.005550 0.161612 
0.840000 0.004978 0.151512 
0.850000 0.004453 0.141411 
0.860000 0.003970 0.131310 
0.870000 0.003526 0.121209 
0.880000 0.003117 0.111108 
0.890000 0.002739 0.101008 
0.900000 0.002389 0.090907 
0.910000 0.002064 0.080806 
0.920000 0.001760 0.070705 
0.930000 0.001475 0.060605 
0.940000 0.001205 0.050504 
0.950000 0.000949 0.040403 
0.960000 0.000703 0.030302 
0.970000 0.000464 0.020202 
0.980000 0.000231 0.010101 
0.990000 0.000000 0.000000 
