   x    V1    V2
0.000000 1.000000 1.000000 
0.010000 0.960131 0.989768 
0.020000 0.920460 0.979536 
0.030000 0.881083 0.969304 
0.040000 0.842095 0.959073 
0.050000 0.803584 0.948842 
0.060000 0.765637 0.938613 
0.070000 0.728335 0.928384 
0.080000 0.691753 0.918156 
0.090000 0.655963 0.907929 
0.100000 0.621030 0.897704 
0.110000 0.587011 0.887480 
0.120000 0.553959 0.877258 
0.130000 0.521921 0.867037 
0.140000 0.490936 0.856818 
0.150000 0.461036 0.846601 
0.160000 0.432249 0.836387 
0.170000 0.404595 0.826174 
0.180000 0.378088 0.815963 
0.190000 0.352736 0.805755 
0.200000 0.328542 0.795549 
0.210000 0.305503 0.785346 
0.220000 0.283610 0.775145 
0.230000 0.262851 0.764947 
0.240000 0.243209 0.754752 
0.250000 0.224664 0.744560 
0.260000 0.207190 0.734371 
0.270000 0.190759 0.724185 
0.280000 0.175342 0.714002 
0.290000 0.160906 0.703823 
0.300000 0.147415 0.693647 
0.310000 0.134833 0.683474 
0.320000 0.123123 0.673305 
0.330000 0.112246 0.663139 
0.340000 0.102162 0.652977 
0.350000 0.092832 0.642819 
0.360000 0.084217 0.632664 
0.370000 0.076278 0.622513 
0.380000 0.068975 0.612366 
0.390000 0.062270 0.602223 
0.400000 0.056126 0.592084 
0.410000 0.050507 0.581949 
0.420000 0.045378 0.571817 
0.430000 0.040704 0.561690 
0.440000 0.036454 0.551567 
0.450000 0.032595 0.541447 
0.460000 0.029099 0.531332 
0.470000 0.025936 0.521221 
0.480000 0.023081 0.511114 
0.490000 0.020508 0.501011 
0.500000 0.018194 0.490912 
0.510000 0.016115 0.480817 
0.520000 0.014252 0.470726 
0.530000 0.012584 0.460639 
0.540000 0.011095 0.450556 
0.550000 0.009767 0.440478 
0.560000 0.008585 0.430403 
0.570000 0.007534 0.420332 
0.580000 0.006602 0.410265 
0.590000 0.005776 0.400202 
0.600000 0.005046 0.390142 
0.610000 0.004402 0.380087 
0.620000 0.003834 0.370035 
0.630000 0.003335 0.359987 
0.640000 0.002896 0.349942 
0.650000 0.002511 0.339902 
0.660000 0.002175 0.329864 
0.670000 0.001880 0.319830 
0.680000 0.001623 0.309799 
0.690000 0.001399 0.299772 
0.700000 0.001205 0.289748 
0.710000 0.001036 0.279727 
0.720000 0.000889 0.269709 
0.730000 0.000762 0.259694 
0.740000 0.000652 0.249682 
0.750000 0.000557 0.239672 
0.760000 0.000476 0.229666 
0.770000 0.000406 0.219662 
0.780000 0.000345 0.209660 
0.790000 0.000293 0.199661 
0.800000 0.000249 0.189664 
0.810000 0.000211 0.179669 
0.820000 0.000179 0.169676 
0.830000 0.000151 0.159685 
0.840000 0.000127 0.149696 
0.850000 0.000107 0.139709 
0.860000 0.000090 0.129723 
0.870000 0.000076 0.119739 
0.880000 0.000063 0.109756 
0.890000 0.000053 0.099775 
0.900000 0.000044 0.089794 
0.910000 0.000036 0.079815 
0.920000 0.000030 0.069836 
0.930000 0.000024 0.059858 
0.940000 0.000019 0.049881 
0.950000 0.000015 0.039904 
0.960000 0.000011 0.029928 
0.970000 0.000007 0.019952 
0.980000 0.000004 0.009976 
0.990000 0.000000 0.000000 
