   x    V1    V2
0.000000 1.000000 1.000000 
0.010000 99439635306115777363306160134459457039982898497896966813297378388147651990497911094994770945124573853412341913223168.000000 nan 
0.020000 395777917744136825134384998345029965035073264003242223608475209533113711323682938456180713617458595290664632473092096.000000 nan 
0.030000 1180466981916670490788600622189576432394122795984904383856911097902376512024891937739330365414219862424403548074672128.000000 nan 
0.040000 3127196558254216968114857694272621376260618852136727564156262587149442744105832359471656481793466892415591428833411072.000000 nan 
0.050000 7760360912889395348829429165596928666758137467904722291907619836181668098599485688032687395811677062899085015934566400.000000 nan 
0.060000 18472962368815098639937559295813301211248126919251609942435197373464677928286402984799525418929707112946910467465412608.000000 nan 
0.070000 42718486883924400137634639211641145477007017556113576167419978085576161723667705403569251474657364155521791567874490368.000000 nan 
0.080000 96694538175768425214475147597758687867182906720418266895749806798462842193998881765835335564672674414611592440897863680.000000 nan 
0.090000 215284440652973267194464669520726260490288138074404616185364514833023003465104072261609898265639214801307632880700096512.000000 nan 
0.100000 473036611966370179117556297238116210704593827751330174348696495256431541562873313195188196026142490050083967286326067200.000000 nan 
0.110000 1028207768833298766161498372143611742565859250438025583636731348382840889153214413081403764241193676007002667092092649472.000000 nan 
0.120000 2214797604612848822814658762643988692504899336976131078055081059617307995467270967683372660716367844643937205848366907392.000000 nan 
0.130000 4734065182722680963134610062468101958039998426189692215867287993938807819469674896172637499258909813095307127191307812864.000000 nan 
0.140000 10051543687002394326596930713451259005144215328140257760916437809797185636562406760487933699989139423522802482858122280960.000000 nan 
0.150000 21217189749756609986678801360774618196697212059242146084043494287282779472119737332267057423586135548737632528723519471616.000000 nan 
0.160000 44554206317789151331213343452365079278441140406666778882402124021756366711742373692732129424854299829090469890142173659136.000000 nan 
0.170000 93126275824043473437150082376137945996963758297552669991697756206748464418705803624227834240415611162042928234157284786176.000000 nan 
0.180000 193836266674078434915893689420704188105587874287905845022198705709682252260022373562086895491447876547895163796464827629568.000000 nan 
0.190000 401922323176241924399689115139448580917310562677870009625814316840164065098073253392133355065641734212149642155568924721152.000000 nan 
0.200000 830488101478930705249726584633772547254355718167539746143596670709304478040266295405992126681780783536805817470221996261376.000000 nan 
