   x    V1    V2
0.000000 1.000000 1.000000 
0.010000 0.943511 0.988268 
0.020000 0.887305 0.976537 
0.030000 0.831664 0.964810 
0.040000 0.776859 0.953087 
0.050000 0.723148 0.941371 
0.060000 0.670774 0.929663 
0.070000 0.619960 0.917965 
0.080000 0.570908 0.906279 
0.090000 0.523794 0.894605 
0.100000 0.478768 0.882947 
0.110000 0.435953 0.871304 
0.120000 0.395444 0.859679 
0.130000 0.357309 0.848073 
0.140000 0.321588 0.836488 
0.150000 0.288295 0.824926 
0.160000 0.257418 0.813387 
0.170000 0.228926 0.801873 
0.180000 0.202764 0.790386 
0.190000 0.178861 0.778927 
0.200000 0.157130 0.767498 
0.210000 0.137470 0.756099 
0.220000 0.119773 0.744732 
0.230000 0.103920 0.733398 
0.240000 0.089789 0.722099 
0.250000 0.077255 0.710836 
0.260000 0.066191 0.699610 
0.270000 0.056473 0.688422 
0.280000 0.047978 0.677273 
0.290000 0.040588 0.666164 
0.300000 0.034191 0.655096 
0.310000 0.028680 0.644071 
0.320000 0.023954 0.633088 
0.330000 0.019923 0.622150 
0.340000 0.016499 0.611257 
0.350000 0.013605 0.600409 
0.360000 0.011171 0.589608 
0.370000 0.009134 0.578854 
0.380000 0.007436 0.568147 
0.390000 0.006028 0.557489 
0.400000 0.004866 0.546880 
0.410000 0.003911 0.536320 
0.420000 0.003130 0.525810 
0.430000 0.002495 0.515351 
0.440000 0.001980 0.504942 
0.450000 0.001564 0.494584 
0.460000 0.001231 0.484278 
0.470000 0.000965 0.474022 
0.480000 0.000753 0.463819 
0.490000 0.000585 0.453667 
0.500000 0.000453 0.443567 
0.510000 0.000349 0.433518 
0.520000 0.000268 0.423522 
0.530000 0.000204 0.413577 
0.540000 0.000156 0.403683 
0.550000 0.000118 0.393840 
0.560000 0.000089 0.384049 
0.570000 0.000067 0.374308 
0.580000 0.000050 0.364617 
0.590000 0.000037 0.354976 
0.600000 0.000028 0.345385 
0.610000 0.000021 0.335842 
0.620000 0.000015 0.326348 
0.630000 0.000011 0.316901 
0.640000 0.000008 0.307502 
0.650000 0.000006 0.298148 
0.660000 0.000004 0.288841 
0.670000 0.000003 0.279578 
0.680000 0.000002 0.270359 
0.690000 0.000002 0.261183 
0.700000 0.000001 0.252049 
0.710000 0.000001 0.242956 
0.720000 0.000001 0.233903 
0.730000 0.000000 0.224890 
0.740000 0.000000 0.215914 
0.750000 0.000000 0.206975 
0.760000 0.000000 0.198072 
0.770000 0.000000 0.189203 
0.780000 0.000000 0.180368 
0.790000 0.000000 0.171564 
0.800000 0.000000 0.162791 
0.810000 0.000000 0.154047 
0.820000 0.000000 0.145332 
0.830000 0.000000 0.136642 
0.840000 0.000000 0.127978 
0.850000 0.000000 0.119338 
0.860000 0.000000 0.110720 
0.870000 0.000000 0.102122 
0.880000 0.000000 0.093544 
0.890000 0.000000 0.084983 
0.900000 0.000000 0.076438 
0.910000 0.000000 0.067908 
0.920000 0.000000 0.059391 
0.930000 0.000000 0.050886 
0.940000 0.000000 0.042390 
0.950000 0.000000 0.033902 
0.960000 0.000000 0.025421 
0.970000 0.000000 0.016944 
0.980000 0.000000 0.008471 
0.990000 0.000000 0.000000 
