   x    V1    V2
0.000000 1.000000 1.000000 
0.010000 0.967372 0.989888 
0.020000 0.934799 0.979777 
0.030000 0.902335 0.969665 
0.040000 0.870034 0.959553 
0.050000 0.837950 0.949442 
0.060000 0.806134 0.939330 
0.070000 0.774637 0.929219 
0.080000 0.743508 0.919107 
0.090000 0.712795 0.908996 
0.100000 0.682542 0.898885 
0.110000 0.652793 0.888774 
0.120000 0.623589 0.878663 
0.130000 0.594967 0.868552 
0.140000 0.566962 0.858441 
0.150000 0.539609 0.848331 
0.160000 0.512935 0.838220 
0.170000 0.486967 0.828110 
0.180000 0.461730 0.818000 
0.190000 0.437244 0.807890 
0.200000 0.413525 0.797780 
0.210000 0.390589 0.787671 
0.220000 0.368446 0.777562 
0.230000 0.347105 0.767453 
0.240000 0.326570 0.757344 
0.250000 0.306845 0.747235 
0.260000 0.287929 0.737127 
0.270000 0.269819 0.727019 
0.280000 0.252509 0.716911 
0.290000 0.235992 0.706803 
0.300000 0.220257 0.696696 
0.310000 0.205292 0.686589 
0.320000 0.191084 0.676482 
0.330000 0.177615 0.666376 
0.340000 0.164870 0.656269 
0.350000 0.152828 0.646163 
0.360000 0.141470 0.636058 
0.370000 0.130775 0.625953 
0.380000 0.120720 0.615848 
0.390000 0.111283 0.605743 
0.400000 0.102440 0.595639 
0.410000 0.094168 0.585535 
0.420000 0.086443 0.575431 
0.430000 0.079239 0.565328 
0.440000 0.072533 0.555224 
0.450000 0.066301 0.545122 
0.460000 0.060519 0.535019 
0.470000 0.055163 0.524917 
0.480000 0.050209 0.514816 
0.490000 0.045635 0.504714 
0.500000 0.041419 0.494613 
0.510000 0.037538 0.484513 
0.520000 0.033973 0.474412 
0.530000 0.030702 0.464312 
0.540000 0.027707 0.454213 
0.550000 0.024968 0.444113 
0.560000 0.022467 0.434014 
0.570000 0.020188 0.423916 
0.580000 0.018114 0.413817 
0.590000 0.016230 0.403719 
0.600000 0.014521 0.393622 
0.610000 0.012973 0.383524 
0.620000 0.011573 0.373427 
0.630000 0.010310 0.363331 
0.640000 0.009171 0.353234 
0.650000 0.008147 0.343138 
0.660000 0.007226 0.333042 
0.670000 0.006400 0.322947 
0.680000 0.005661 0.312851 
0.690000 0.004999 0.302756 
0.700000 0.004409 0.292662 
0.710000 0.003882 0.282567 
0.720000 0.003414 0.272473 
0.730000 0.002998 0.262379 
0.740000 0.002628 0.252286 
0.750000 0.002301 0.242192 
0.760000 0.002012 0.232099 
0.770000 0.001756 0.222006 
0.780000 0.001531 0.211913 
0.790000 0.001332 0.201821 
0.800000 0.001157 0.191729 
0.810000 0.001004 0.181636 
0.820000 0.000870 0.171544 
0.830000 0.000752 0.161453 
0.840000 0.000649 0.151361 
0.850000 0.000558 0.141270 
0.860000 0.000479 0.131178 
0.870000 0.000411 0.121087 
0.880000 0.000350 0.110996 
0.890000 0.000298 0.100905 
0.900000 0.000251 0.090814 
0.910000 0.000211 0.080724 
0.920000 0.000175 0.070633 
0.930000 0.000143 0.060542 
0.940000 0.000114 0.050452 
0.950000 0.000088 0.040361 
0.960000 0.000064 0.030271 
0.970000 0.000042 0.020181 
0.980000 0.000021 0.010090 
0.990000 0.000000 0.000000 
