   x    v_numerical    u    error 
     0.00000      0.00000      0.00000      0.00000 
     0.09091      0.47274      0.50620     -1.17970 
     0.18182      0.61251      0.65587     -1.17970 
     0.27273      0.61813      0.66189     -1.17970 
     0.36364      0.56970      0.61003     -1.17970 
     0.45455      0.49950      0.53486     -1.17970 
     0.54545      0.42052      0.45029     -1.17970 
     0.63636      0.33801      0.36194     -1.17970 
     0.72727      0.25408      0.27207     -1.17970 
     0.81818      0.16957      0.18158     -1.17970 
     0.90909      0.08483      0.09084      0.00000 
     1.00000      0.00000      0.00000      0.00000 
